website,mean_response
english_0,2.235651214128035
english_1,4.181764705882353
english_10,3.9167585446527013
english_100,4.953846153846154
english_101,4.857688113413304
english_102,4.885321100917431
english_103,5.142398286937902
english_104,4.468527315914489
english_105,2.263917525773196
english_106,5.39
english_107,4.446467991169978
english_108,4.580552359033372
english_109,3.7857142857142856
english_11,3.9875406283856987
english_111,5.798679867986799
english_112,4.510240963855422
english_113,5.143982002249719
english_114,2.922028353326063
english_115,3.8757159221076747
english_116,1.9425287356321839
english_117,3.5074626865671643
english_118,5.627753303964758
english_119,3.779008438818565
english_12,2.165137614678899
english_120,6.105726872246696
english_121,5.5741127348643005
english_122,4.654370034052214
english_123,4.6923076923076925
english_124,6.1266519823788546
english_125,4.641386782231852
english_128,3.8821961620469083
english_129,4.758408071748879
english_13,4.458115183246074
english_130,5.757203842049093
english_131,3.5375854214123006
english_132,4.008762322015334
english_133,4.92128121606949
english_134,3.436111111111111
english_135,5.66193853427896
english_136,4.330023364485982
english_137,3.6164079822616406
english_138,1.7425
english_139,3.5813953488372094
english_14,2.8623655913978494
english_140,3.6038283062645013
english_141,3.2814606741573034
english_142,6.16006600660066
english_143,4.483634311512415
english_144,3.7626931567328916
english_145,4.340269277845778
english_146,4.2431466030989275
english_147,4.053430821147357
english_148,4.439181916038751
english_149,5.229007633587786
english_15,3.889007470651014
english_150,4.992441860465116
english_151,4.3919821826280625
english_152,4.900440044004401
english_153,4.160954712362301
english_154,4.197152245345016
english_155,4.228710462287105
english_156,3.373644251626898
english_157,3.750836120401338
english_158,5.449267192784667
english_159,3.2714446952595937
english_16,2.1003253796095445
english_160,3.8394854586129754
english_161,4.595588235294118
english_162,4.2713950762016415
english_163,2.692510548523207
english_164,3.8472222222222223
english_165,5.01827242524917
english_166,3.4172043010752686
english_167,4.611650485436893
english_168,3.6555806087936866
english_169,4.26330690826727
english_17,4.934331797235023
english_170,5.676600441501104
english_171,4.412459720730397
english_172,5.196868008948546
english_173,4.3887043189368775
english_174,4.535194174757281
english_175,4.34113712374582
english_176,3.8226164079822618
english_177,5.0936768149882905
english_178,5.077929465301479
english_179,3.397577092511013
